,Date,Time,local,visit,g_loc,g_vis,m_loc,m_vis,PossH,PossA,TSH,TSA,On_TargetH,On_TargetA,Off_TargetH,Off_TargetA,BlockedH,BlockedA,PassingpcH,PassingpcA,ClearCutChancesH,ClearCutChancesA,CornersH,CornersA,OffsidesH,OffsidesA,TacklespcH,TacklespcA,AerialDuelspcH,AerialDuelspcA,SavesH,SavesA,FoulsCommittedH,FoulsCommittedA,FoulsWonH,FoulsWonA,YellowCardsH,YellowCardsA,RedCardsH,RedCardsA,Stadium,Attendance,Referee,Assistants,Fourth_official,VAR,Assistant_VAR
0,28/05/2023,16:30,A Villa,Brighton,2,1,"[8, 26]",[38],40.3,59.7,12.0,8.0,5.0,4.0,5.0,3.0,2.0,1.0,75.3,83.6,4.0,3.0,4.0,3.0,0.0,6.0,42.9,15.4,52.2,47.8,3.0,3.0,15.0,16.0,16.0,15.0,4.0,4.0,0.0,0.0,Villa Park.,,David Coote,"Simon Bennett, Timothy Wood",Andy Davies,Graham Scott,Lee Betts
1,28/05/2023,16:30,Brentford,Man City,1,0,[85],[],34.4,65.6,11.0,17.0,4.0,3.0,4.0,6.0,3.0,8.0,79.3,89.8,2.0,1.0,3.0,4.0,3.0,0.0,64.7,35.7,50.0,50.0,2.0,3.0,12.0,8.0,8.0,12.0,4.0,0.0,0.0,0.0,Gtech Community Stadium,17120,John Brooks,"Ian Hussin, Matt Wilkes",Jeremy Simpson,Darren Bond,Darren Cann
2,28/05/2023,16:30,Chelsea,Newcastle,1,1,[27],[9],64.4,35.6,22.0,13.0,5.0,4.0,9.0,5.0,8.0,4.0,88.9,83.3,2.0,2.0,10.0,3.0,2.0,1.0,42.9,42.9,54.5,45.5,3.0,5.0,9.0,11.0,11.0,9.0,0.0,0.0,0.0,0.0,Stamford Bridge,40130,Jarred Gillet,"Marc Perry, Wade Smith",Keith Stroud,Peter Bankes,Natalie Aspinall
3,28/05/2023,16:30,C Palace,N Forest,1,1,[66],[31],66.0,34.0,15.0,7.0,3.0,4.0,8.0,2.0,4.0,1.0,85.7,69.9,1.0,0.0,5.0,4.0,2.0,2.0,40.0,52.6,58.3,41.7,3.0,2.0,9.0,13.0,13.0,9.0,0.0,2.0,0.0,0.0,Selhurst Park,25198,Thomas Bramall,"Edward Smart, Nick Greenhalgh",Oliver Langford,Paul Tierney,Bhupinder Gill
4,28/05/2023,16:30,Everton,"""Bmouth""",1,0,[57],[],37.8,62.2,13.0,7.0,6.0,2.0,5.0,3.0,2.0,2.0,73.1,83.9,0.0,0.0,9.0,3.0,0.0,1.0,50.0,58.3,53.8,46.2,1.0,5.0,11.0,12.0,12.0,11.0,1.0,3.0,0.0,0.0,Goodison Park.,,Stuart Attwell,"James Mainwaring, Constantine Hatzidakis",James Bell,Michael Oliver,Mark Scholes
5,28/05/2023,16:30,Leeds,Tottenham,1,4,[67],"[2, 69, 47, 90]",52.1,47.9,19.0,11.0,2.0,7.0,7.0,3.0,10.0,1.0,77.3,78.0,1.0,3.0,12.0,3.0,1.0,1.0,54.5,46.2,54.5,45.5,3.0,1.0,8.0,5.0,5.0,7.0,3.0,0.0,0.0,0.0,Elland Road,36871,Anthony Taylor,"Gary Beswick, Adam Nunn",David Webb,Michael Salisbury,Neil Davies
6,28/05/2023,16:30,Leicester,West Ham,2,1,"[34, 62]",[79],48.2,51.8,13.0,16.0,4.0,3.0,6.0,9.0,3.0,4.0,87.8,88.7,2.0,1.0,3.0,5.0,2.0,3.0,63.6,58.8,68.8,31.3,2.0,2.0,8.0,10.0,9.0,8.0,1.0,1.0,0.0,0.0,The King Power Stadium,32183,Simon Hooper,"Adrian Holmes, Richard West",Matt Donohue,Chris Kavanagh,Dan Robathan
7,28/05/2023,16:30,Man Utd,Fulham,2,1,"[39, 55]",[19],53.2,46.8,21.0,10.0,8.0,3.0,7.0,6.0,6.0,1.0,84.2,84.0,4.0,2.0,5.0,4.0,1.0,1.0,78.9,66.7,46.4,53.6,2.0,6.0,14.0,10.0,10.0,14.0,1.0,2.0,0.0,0.0,Old Trafford,73465,Robert Jones,"Harry Lennard, Nicholas Hopton",Geoff Eltringham,Andy Madley,Steven Meredith
8,28/05/2023,16:30,"""Soton""",Liverpool,4,4,"[19, 28, 47, 64]","[10, 73, 14, 72]",30.9,69.1,15.0,30.0,10.0,8.0,5.0,11.0,0.0,11.0,74.5,86.9,1.0,5.0,2.0,9.0,0.0,0.0,71.4,75.0,54.5,45.5,4.0,6.0,4.0,10.0,10.0,4.0,0.0,2.0,0.0,0.0,"""St. Marys Stadium""",31129,Darren England,"Sam Lewis, Daniel Cook",Dean Whitestone,Craig Pawson,Sian Massey
9,25/05/2023,20:00,Man Utd,Chelsea,4,1,"[6, 45, 73, 78]",[89],41.1,58.9,18.0,14.0,9.0,5.0,4.0,5.0,5.0,4.0,84.0,90.4,4.0,3.0,3.0,4.0,0.0,0.0,52.6,61.9,33.3,66.7,4.0,5.0,12.0,6.0,6.0,12.0,1.0,1.0,0.0,0.0,Old Trafford,73561,Stuart Attwell,"Richard West, Ian Hussin",Anthony Taylor,Michael Salisbury,Steven Meredith
10,24/05/2023,20:00,Brighton,Man City,1,1,[38],[25],39.6,60.4,20.0,13.0,7.0,4.0,6.0,6.0,7.0,3.0,84.2,89.0,2.0,3.0,5.0,1.0,2.0,0.0,50.0,33.3,42.9,57.1,3.0,6.0,16.0,11.0,10.0,14.0,2.0,1.0,0.0,0.0,Amex Stadium,31388,Simon Hooper,"Nicholas Hopton, Adrian Holmes",Graham Scott,Chris Kavanagh,Gary Beswick
11,22/05/2023,20:00,Newcastle,Leicester,0,0,[],[],77.6,22.4,23.0,1.0,4.0,1.0,13.0,0.0,6.0,0.0,89.5,58.9,1.0,0.0,12.0,1.0,1.0,0.0,33.3,47.1,59.4,40.6,1.0,3.0,9.0,5.0,5.0,9.0,2.0,0.0,0.0,0.0,"""St James Park",52152,Andre Marriner,"Daniel Cook, Scott Ledger",Craig Pawson,Darren England,Richard West
12,21/05/2023,13:30,West Ham,Leeds,3,1,"[31, 72, 90]",[17],58.8,41.2,19.0,12.0,9.0,3.0,4.0,6.0,6.0,3.0,80.9,72.9,4.0,0.0,9.0,5.0,1.0,1.0,72.7,60.9,73.9,26.1,2.0,6.0,6.0,11.0,10.0,6.0,1.0,3.0,0.0,0.0,London Stadium,62478,Peter Bankes,"Edward Smart, Nick Greenhalgh",Andy Madley,Michael Salisbury,Nicholas Hopton
13,21/05/2023,14:00,Brighton,"""Soton""",3,1,"[29, 40, 69]",[58],63.0,37.0,26.0,5.0,8.0,1.0,11.0,3.0,7.0,1.0,91.7,79.6,1.0,1.0,4.0,3.0,1.0,1.0,69.2,62.5,73.3,26.7,0.0,5.0,8.0,9.0,9.0,8.0,2.0,5.0,0.0,0.0,Amex Stadium,31507,Paul Tierney,"Neil Davies, Constantine Hatzidakis",John Busby,Simon Hooper,Adrian Holmes
14,21/05/2023,16:00,Man City,Chelsea,1,0,[12],[],64.6,35.4,15.0,13.0,2.0,6.0,7.0,4.0,6.0,3.0,91.5,86.8,2.0,2.0,5.0,2.0,2.0,2.0,75.0,70.6,44.4,55.6,6.0,1.0,12.0,9.0,9.0,11.0,0.0,2.0,0.0,0.0,Etihad Stadium,53490,Michael Oliver,"Lee Betts, Stuart Burt",Robert Jones,John Brooks,Simon Bennett
