"['4:30pm, Sunday 28th May 2023.']",['Arsenal'],['Wolves'],"[<Element span at 0x37aeb10>, <Element span at 0x37aeb40>]",['5'],['0'],"['\n                G Xhaka\xa0(', ""11'"", '11th minute', ', ', ""14'"", '14th minute', ')', '\n                B Saka\xa0(', ""27'"", '27th minute', ')', '\n                G Jesus\xa0(', ""58'"", '58th minute', ')', '\n                J Kiwior\xa0(', ""78'"", '78th minute', ')']",[],51,49,14,6,8,0,4,4,2,2,89,88,3,0,8,4,1,0,82.4,44.4,47.8,52.2,0,3,8,11,10,8,0,0,0,0,"['Arsenal\n                          vs Wolverhampton Wanderers. Premier League.\n                        ', '\n                          ', '4:30pm, Sunday 28th May 2023.', '\n                        ', '\n                          ', 'Emirates Stadium', 'Attendance: ', 'Attendance', '60,095.', '\n                       ']","['Referee:', 'Andre Marriner', 'Assistants:', 'Simon Long, Scott Ledger', 'Fourth official:', 'James Linington', 'VAR:', 'Tony Harrington', 'Assistant VAR:', 'Stuart Burt']"
"['4:30pm, Sunday 28th May 2023.']",['A Villa'],['Brighton'],"[<Element span at 0x37ae6f0>, <Element span at 0x37ce2a0>]",['2'],['1'],"['\n                Douglas Luiz\xa0(', ""8'"", '8th minute', ')', '\n                O Watkins\xa0(', ""26'"", '26th minute', ')']","['\n                D Undav\xa0(', ""38'"", '38th minute', ')']",40.3,59.7,12,8,5,4,5,3,2,1,75.3,83.6,4,3,4,3,0,6,42.9,15.4,52.2,47.8,3,3,15,16,16,15,4,4,0,0,"['Aston Villa\n                          vs Brighton and Hove Albion. Premier League.\n                        ', '\n                          ', '4:30pm, Sunday 28th May 2023.', '\n                        ', '\n                          ', 'Villa Park.', '\n                       ']","['Referee:', 'David Coote', 'Assistants:', 'Simon Bennett, Timothy Wood', 'Fourth official:', 'Andy Davies', 'VAR:', 'Graham Scott', 'Assistant VAR:', 'Lee Betts']"
"['4:30pm, Sunday 28th May 2023.']",['Brentford'],['Man City'],"[<Element span at 0x37cef90>, <Element span at 0x37cef30>]",['1'],['0'],"['\n                E Pinnock\xa0(', ""85'"", '85th minute', ')']",[],34.4,65.6,11,17,4,3,4,6,3,8,79.3,89.8,2,1,3,4,3,0,64.7,35.7,50,50,2,3,12,8,8,12,4,0,0,0,"['Brentford\n                          vs Manchester City. Premier League.\n                        ', '\n                          ', '4:30pm, Sunday 28th May 2023.', '\n                        ', '\n                          ', 'Gtech Community Stadium', 'Attendance: ', 'Attendance', '17,120.', '\n                       ']","['Referee:', 'John Brooks', 'Assistants:', 'Ian Hussin, Matt Wilkes', 'Fourth official:', 'Jeremy Simpson', 'VAR:', 'Darren Bond', 'Assistant VAR:', 'Darren Cann']"
"['4:30pm, Sunday 28th May 2023.']",['Chelsea'],['Newcastle'],"[<Element span at 0x37d0c60>, <Element span at 0x37d0d80>]",['1'],['1'],"['\n                K Trippier\xa0(', ""27'"", '27th minute', '                ', 'og', 'own goal', ')']","['\n                A Gordon\xa0(', ""9'"", '9th minute', ')']",64.4,35.6,22,13,5,4,9,5,8,4,88.9,83.3,2,2,10,3,2,1,42.9,42.9,54.5,45.5,3,5,9,11,11,9,0,0,0,0,"['Chelsea\n                          vs Newcastle United. Premier League.\n                        ', '\n                          ', '4:30pm, Sunday 28th May 2023.', '\n                        ', '\n                          ', 'Stamford Bridge', 'Attendance: ', 'Attendance', '40,130.', '\n                       ']","['Referee:', 'Jarred Gillet', 'Assistants:', 'Marc Perry, Wade Smith', 'Fourth official:', 'Keith Stroud', 'VAR:', 'Peter Bankes', 'Assistant VAR:', 'Natalie Aspinall']"
"['4:30pm, Sunday 28th May 2023.']",['C Palace'],['N Forest'],"[<Element span at 0x37d6a80>, <Element span at 0x37d6ba0>]",['1'],['1'],"['\n                W Hughes\xa0(', ""66'"", '66th minute', ')']","['\n                T Awoniyi\xa0(', ""31'"", '31st minute', ')']",66,34,15,7,3,4,8,2,4,1,85.7,69.9,1,0,5,4,2,2,40,52.6,58.3,41.7,3,2,9,13,13,9,0,2,0,0,"['Crystal Palace\n                          vs Nottingham Forest. Premier League.\n                        ', '\n                          ', '4:30pm, Sunday 28th May 2023.', '\n                        ', '\n                          ', 'Selhurst Park', 'Attendance: ', 'Attendance', '25,198.', '\n                       ']","['Referee:', 'Thomas Bramall', 'Assistants:', 'Edward Smart, Nick Greenhalgh', 'Fourth official:', 'Oliver Langford', 'VAR:', 'Paul Tierney', 'Assistant VAR:', 'Bhupinder Gill']"
"['4:30pm, Sunday 28th May 2023.']",['Everton'],"[""B'mouth""]","[<Element span at 0x37da8d0>, <Element span at 0x37da810>]",['1'],['0'],"['\n                A Doucouré\xa0(', ""57'"", '57th minute', ')']",[],37.8,62.2,13,7,6,2,5,3,2,2,73.1,83.9,0,0,9,3,0,1,50,58.3,53.8,46.2,1,5,11,12,12,11,1,3,0,0,"['Everton\n                          vs Bournemouth. Premier League.\n                        ', '\n                          ', '4:30pm, Sunday 28th May 2023.', '\n                        ', '\n                          ', 'Goodison Park.', '\n                       ']","['Referee:', 'Stuart Attwell', 'Assistants:', 'James Mainwaring, Constantine Hatzidakis', 'Fourth official:', 'James Bell', 'VAR:', 'Michael Oliver', 'Assistant VAR:', 'Mark Scholes']"
"['4:30pm, Sunday 28th May 2023.']",['Leeds'],['Tottenham'],"[<Element span at 0x37df4e0>, <Element span at 0x37df420>]",['1'],['4'],"['\n                J Harrison\xa0(', ""67'"", '67th minute', ')']","['\n                H Kane\xa0(', ""2'"", '2nd minute', ', ', ""69'"", '69th minute', ')', '\n                P Porro\xa0(', ""47'"", '47th minute', ')', '\n                Lucas Moura\xa0(', ""90+5'"", '95th minute', ')']",52.1,47.9,19,11,2,7,7,3,10,1,77.3,78,1,3,12,3,1,1,54.5,46.2,54.5,45.5,3,1,8,5,5,7,3,0,0,0,"['Leeds United\n                          vs Tottenham Hotspur. Premier League.\n                        ', '\n                          ', '4:30pm, Sunday 28th May 2023.', '\n                        ', '\n                          ', 'Elland Road', 'Attendance: ', 'Attendance', '36,871.', '\n                       ']","['Referee:', 'Anthony Taylor', 'Assistants:', 'Gary Beswick, Adam Nunn', 'Fourth official:', 'David Webb', 'VAR:', 'Michael Salisbury', 'Assistant VAR:', 'Neil Davies']"
"['4:30pm, Sunday 28th May 2023.']",['Leicester'],['West Ham'],"[<Element span at 0x37e2450>, <Element span at 0x37e2480>]",['2'],['1'],"['\n                H Barnes\xa0(', ""34'"", '34th minute', ')', '\n                W Faes\xa0(', ""62'"", '62nd minute', ')']","['\n                P Fornals\xa0(', ""79'"", '79th minute', ')']",48.2,51.8,13,16,4,3,6,9,3,4,87.8,88.7,2,1,3,5,2,3,63.6,58.8,68.8,31.3,2,2,8,10,9,8,1,1,0,0,"['Leicester City\n                          vs West Ham United. Premier League.\n                        ', '\n                          ', '4:30pm, Sunday 28th May 2023.', '\n                        ', '\n                          ', 'The King Power Stadium', 'Attendance: ', 'Attendance', '32,183.', '\n                       ']","['Referee:', 'Simon Hooper', 'Assistants:', 'Adrian Holmes, Richard West', 'Fourth official:', 'Matt Donohue', 'VAR:', 'Chris Kavanagh', 'Assistant VAR:', 'Dan Robathan']"
"['4:30pm, Sunday 28th May 2023.']",['Man Utd'],['Fulham'],"[<Element span at 0x37e8240>, <Element span at 0x37e8270>]",['2'],['1'],"['\n                J Sancho\xa0(', ""39'"", '39th minute', ')', '\n                B Fernandes\xa0(', ""55'"", '55th minute', ')']","['\n                K Tete\xa0(', ""19'"", '19th minute', ')']",53.2,46.8,21,10,8,3,7,6,6,1,84.2,84,4,2,5,4,1,1,78.9,66.7,46.4,53.6,2,6,14,10,10,14,1,2,0,0,"['Manchester United\n                          vs Fulham. Premier League.\n                        ', '\n                          ', '4:30pm, Sunday 28th May 2023.', '\n                        ', '\n                          ', 'Old Trafford', 'Attendance: ', 'Attendance', '73,465.', '\n                       ']","['Referee:', 'Robert Jones', 'Assistants:', 'Harry Lennard, Nicholas Hopton', 'Fourth official:', 'Geoff Eltringham', 'VAR:', 'Andy Madley', 'Assistant VAR:', 'Steven Meredith']"
"['4:30pm, Sunday 28th May 2023.']","[""So'ton""]",['Liverpool'],"[<Element span at 0x37e8ea0>, <Element span at 0x37e8fc0>]",['4'],['4'],"['\n                J Ward-Prowse\xa0(', ""19'"", '19th minute', ')', '\n                K Sulemana\xa0(', ""28'"", '28th minute', ', ', ""47'"", '47th minute', ')', '\n                A Armstrong\xa0(', ""64'"", '64th minute', ')']","['\n                D Jota\xa0(', ""10'"", '10th minute', ', ', ""73'"", '73rd minute', ')', '\n                R Firmino\xa0(', ""14'"", '14th minute', ')', '\n                C Gakpo\xa0(', ""72'"", '72nd minute', ')']",30.9,69.1,15,30,10,8,5,11,0,11,74.5,86.9,1,5,2,9,0,0,71.4,75,54.5,45.5,4,6,4,10,10,4,0,2,0,0,"['Southampton\n                          vs Liverpool. Premier League.\n                        ', '\n                          ', '4:30pm, Sunday 28th May 2023.', '\n                        ', '\n                          ', ""St. Mary's Stadium"", 'Attendance: ', 'Attendance', '31,129.', '\n                       ']","['Referee:', 'Darren England', 'Assistants:', 'Sam Lewis, Daniel Cook', 'Fourth official:', 'Dean Whitestone', 'VAR:', 'Craig Pawson', 'Assistant VAR:', 'Sian Massey']"
