"['4:00pm, Sunday 23rd May 2021.']",['Arsenal'],['Brighton'],"[<Element span at 0x386ab40>, <Element span at 0x386ab70>]",['2'],['0'],"['\n                N Pepe\xa0(', ""49'"", '49th minute', ', ', ""60'"", '60th minute', ')']",[],53.9,46.1,16,5,5,1,7,3,4,1,88.1,86.7,0,0,11,3,2,1,57.1,70.6,63.6,36.4,1,3,10,8,8,10,0,0,0,0,"['Arsenal\n                          vs Brighton and Hove Albion. Premier League.\n                        ', '\n                          ', '4:00pm, Sunday 23rd May 2021.', '\n                        ', '\n                          ', 'Emirates Stadium', 'Attendance: ', 'Attendance', '10,000.', '\n                       ']","['Referee:', 'Jonathan Moss', 'Assistants:', 'Timothy Wood, Marc Perry', 'Fourth official:', 'Dean Whitestone', 'VAR:', 'Simon Hooper', 'Assistant VAR:', 'Derek Eaton']"
"['4:00pm, Sunday 23rd May 2021.']",['A Villa'],['Chelsea'],"[<Element span at 0x388aed0>, <Element span at 0x388ad80>]",['2'],['1'],"['\n                B Traoré\xa0(', ""43'"", '43rd minute', ')', '\n                A El Ghazi\xa0(', ""52'"", '52nd minute', '                pen)']","['\n                B Chilwell\xa0(', ""70'"", '70th minute', ')', '\n                C Azpilicueta\xa0(', 'red card', 'sent off', '\n                ', ""89'"", '89th minute', ')']",28.8,71.2,6,23,3,7,3,11,0,5,69.6,89,0,6,2,9,0,2,78.6,44.4,62.5,37.5,6,1,11,12,12,11,3,4,0,1,"['Aston Villa\n                          vs Chelsea. Premier League.\n                        ', '\n                          ', '4:00pm, Sunday 23rd May 2021.', '\n                        ', '\n                          ', 'Villa Park', 'Attendance: ', 'Attendance', '10,000.', '\n                       ']","['Referee:', 'Stuart Attwell', 'Assistants:', 'Simon Long, Neil Davies', 'Fourth official:', 'Tim Robinson', 'VAR:', 'Jarred Gillet', 'Assistant VAR:', 'Stephen Child']"
"['4:00pm, Sunday 23rd May 2021.']",['Fulham'],['Newcastle'],"[<Element span at 0x388df90>, <Element span at 0x388df30>]",['0'],['2'],[],"['\n                J Willock\xa0(', ""23'"", '23rd minute', ')', '\n                F Schär\xa0(', ""88'"", '88th minute', '                pen)']",64.3,35.7,14,10,0,4,7,3,7,3,90.1,81.1,1,1,5,4,1,0,38.9,38.5,41.2,58.8,2,0,12,6,6,12,1,0,0,0,"['Fulham\n                          vs Newcastle United. Premier League.\n                        ', '\n                          ', '4:00pm, Sunday 23rd May 2021.', '\n                        ', '\n                          ', 'Craven Cottage', 'Attendance: ', 'Attendance', '2,000.', '\n                       ']","['Referee:', 'Chris Kavanagh', 'Assistants:', 'Sian Massey, Daniel Cook', 'Fourth official:', 'James Linington', 'VAR:', 'Robert Jones', 'Assistant VAR:', 'Adrian Holmes']"
"['4:00pm, Sunday 23rd May 2021.']",['Leeds'],['W Brom'],"[<Element span at 0x3891d50>, <Element span at 0x3891e70>]",['3'],['1'],"['\n                Rodrigo\xa0(', ""17'"", '17th minute', ')', '\n                K Phillips\xa0(', ""42'"", '42nd minute', ')', '\n                P Bamford\xa0(', ""79'"", '79th minute', '                pen)']","['\n                H Robson-Kanu\xa0(', ""90'"", '90th minute', ')']",64.4,35.6,17,14,9,5,3,6,5,3,82.6,70.9,1,0,8,3,3,3,66.7,57.9,63,37,4,6,12,12,11,12,2,1,0,0,"['Leeds United\n                          vs West Bromwich Albion. Premier League.\n                        ', '\n                          ', '4:00pm, Sunday 23rd May 2021.', '\n                        ', '\n                          ', 'Elland Road', 'Attendance: ', 'Attendance', '8,000.', '\n                       ']","['Referee:', 'David Coote', 'Assistants:', 'Nicholas Hopton, Shaun Hudson', 'Fourth official:', 'Darren Bond', 'VAR:', 'Graham Scott', 'Assistant VAR:', 'Dan Robathan']"
"['4:00pm, Sunday 23rd May 2021.']",['Leicester'],['Tottenham'],"[<Element span at 0x3898c30>, <Element span at 0x3898d50>]",['2'],['4'],"['\n                J Vardy\xa0(', ""18'"", '18th minute', '                pen, ', ""52'"", '52nd minute', '                pen)']","['\n                H Kane\xa0(', ""41'"", '41st minute', ')', '\n                K Schmeichel\xa0(', ""76'"", '76th minute', '                ', 'og', 'own goal', ')', '\n                G Bale\xa0(', ""87'"", '87th minute', ', ', ""90+6'"", '96th minute', ')']",47,53,10,11,6,4,2,2,2,5,76.6,80.7,0,0,8,7,3,1,60.7,72.2,40.7,59.3,1,4,9,8,7,8,0,2,0,0,"['Leicester City\n                          vs Tottenham Hotspur. Premier League.\n                        ', '\n                          ', '4:00pm, Sunday 23rd May 2021.', '\n                        ', '\n                          ', 'The King Power Stadium', 'Attendance: ', 'Attendance', '8,000.', '\n                       ']","['Referee:', 'Anthony Taylor', 'Assistants:', 'Mark Scholes, Adam Nunn', 'Fourth official:', 'Keith Stroud', 'VAR:', 'Peter Bankes', 'Assistant VAR:', 'Lee Betts']"
"['4:00pm, Sunday 23rd May 2021.']",['Liverpool'],['C Palace'],"[<Element span at 0x389ccf0>, <Element span at 0x389ce10>]",['2'],['0'],"['\n                S Mané\xa0(', ""36'"", '36th minute', ', ', ""74'"", '74th minute', ')']",[],69.6,30.4,19,5,5,4,10,1,4,0,85.4,61.2,3,1,14,1,2,1,80,66.7,48.1,51.9,4,3,10,8,7,10,2,2,0,0,"['Liverpool\n                          vs Crystal Palace. Premier League.\n                        ', '\n                          ', '4:00pm, Sunday 23rd May 2021.', '\n                        ', '\n                          ', 'Anfield', 'Attendance: ', 'Attendance', '9,901.', '\n                       ']","['Referee:', 'Craig Pawson', 'Assistants:', 'Scott Ledger, Richard West', 'Fourth official:', 'Tony Harrington', 'VAR:', 'Paul Tierney', 'Assistant VAR:', 'Edward Smart']"
"['4:00pm, Sunday 23rd May 2021.']",['Man City'],['Everton'],"[<Element span at 0x389fb10>, <Element span at 0x389fa50>]",['5'],['0'],"['\n                K De Bruyne\xa0(', ""11'"", '11th minute', ')', '\n                G Jesus\xa0(', ""14'"", '14th minute', ')', '\n                P Foden\xa0(', ""53'"", '53rd minute', ')', '\n                S Agüero\xa0(', ""71'"", '71st minute', ', ', ""76'"", '76th minute', ')']",[],67.7,32.3,21,8,11,3,6,2,4,3,91.7,79.4,5,0,7,5,1,1,50,75,42.1,57.9,3,6,8,10,10,8,2,2,0,0,"['Manchester City\n                          vs Everton. Premier League.\n                        ', '\n                          ', '4:00pm, Sunday 23rd May 2021.', '\n                        ', '\n                          ', 'Etihad Stadium', 'Attendance: ', 'Attendance', '10,000.', '\n                       ']","['Referee:', 'Michael Oliver', 'Assistants:', 'Simon Bennett, Stuart Burt', 'Fourth official:', 'Michael Salisbury', 'VAR:', 'Darren England', 'Assistant VAR:', 'Andy Halliday']"
"['4:00pm, Sunday 23rd May 2021.']",['Sheff Utd'],['Burnley'],"[<Element span at 0x38a1a50>, <Element span at 0x38a1a80>]",['1'],['0'],"['\n                D McGoldrick\xa0(', ""24'"", '24th minute', ')']",[],43,57,12,10,3,3,7,3,2,4,68.4,71.8,0,0,8,9,2,1,68.4,75,47,53,3,2,11,1,1,11,3,1,0,0,"['Sheffield United\n                          vs Burnley. Premier League.\n                        ', '\n                          ', '4:00pm, Sunday 23rd May 2021.', '\n                        ', '\n                          ', 'Bramall Lane', 'Attendance: ', 'Attendance', '5,096.', '\n                       ']","['Referee:', 'Kevin Friend', 'Assistants:', 'Andrew Fox, Simon Beck', 'Fourth official:', 'Geoff Eltringham', 'VAR:', 'Lee Mason', 'Assistant VAR:', 'Matt Wilkes']"
"['4:00pm, Sunday 23rd May 2021.']",['West Ham'],"[""So'ton""]","[<Element span at 0x38a86c0>, <Element span at 0x38a86f0>]",['3'],['0'],"['\n                P Fornals\xa0(', ""30'"", '30th minute', ', ', ""33'"", '33rd minute', ')', '\n                D Rice\xa0(', ""86'"", '86th minute', ')']",[],36.9,63.1,14,17,7,5,6,8,1,4,69,80.7,2,2,2,3,5,2,50,56.5,62.1,37.9,5,4,5,9,9,5,0,3,0,0,"['West Ham United\n                          vs Southampton. Premier League.\n                        ', '\n                          ', '4:00pm, Sunday 23rd May 2021.', '\n                        ', '\n                          ', 'London Stadium', 'Attendance: ', 'Attendance', '10,000.', '\n                       ']","['Referee:', 'Martin Atkinson', 'Assistants:', 'Constantine Hatzidakis, James Mainwaring', 'Fourth official:', 'Matt Donohue', 'VAR:', 'Andre Marriner', 'Assistant VAR:', 'Peter Kirkup']"
"['4:00pm, Sunday 23rd May 2021.']",['Wolves'],['Man Utd'],"[<Element span at 0x38aa480>, <Element span at 0x38aa4b0>]",['1'],['2'],"['\n                N Cabral Semedo\xa0(', ""39'"", '39th minute', ')']","['\n                A Elanga\xa0(', ""13'"", '13th minute', ')', '\n                J Mata\xa0(', ""45+4'"", '49th minute', '                pen)']",57.2,42.8,14,9,4,4,6,5,4,0,88.6,86.6,0,3,6,2,1,1,57.9,50,42.9,57.1,2,3,14,3,3,14,4,1,0,0,"['Wolverhampton Wanderers\n                          vs Manchester United. Premier League.\n                        ', '\n                          ', '4:00pm, Sunday 23rd May 2021.', '\n                        ', '\n                          ', 'Molineux', 'Attendance: ', 'Attendance', '4,500.', '\n                       ']","['Referee:', 'Mike Dean', 'Assistants:', 'Harry Lennard, Ian Hussin', 'Fourth official:', 'John Brooks', 'VAR:', 'Andy Madley', 'Assistant VAR:', 'Darren Cann']"
